sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
新竹,新竹市,16,,良好,0.6,0.2,31.7,14.2,9,8,5.8,7.6,1.8,2.5,301,2024-06-01 11:00,,0.2,4.8,10,0,120.97236752,24.8056356,24
竹東,新竹縣,26,,良好,0.9,0.19,31.8,9.9,17,11,9.1,11,1.9,2.5,327,2024-06-01 11:00,,0.1,8.1,19,0,121.08895493,24.74091408,23
湖口,新竹縣,32,,良好,0.5,0.14,32.9,13.6,15,11,4.1,5.1,1,1.8,307,2024-06-01 11:00,,0.1,9.9,13,0,121.03886894,24.90009696,22
龍潭,桃園市,26,,良好,1.4,0.37,25.8,10.3,26,10,11.8,15.3,3.5,2.6,266,2024-06-01 11:00,,0.2,8,18,0,121.21645772,24.86400048,21
平鎮,桃園市,22,,良好,1,0.22,24.2,9.3,24,11,10.1,14.8,4.7,1.4,282,2024-06-01 11:00,,0.2,6.8,19,0,121.203986,24.952786,20
觀音,桃園市,15,,良好,0.1,0.09,31.9,17.0,10,5,3.6,5.2,1.6,1.6,343,2024-06-01 11:00,,0,4.4,11,0,121.08283092,25.03556747,19
大園,桃園市,16,,良好,1.4,0.17,27.2,15.6,21,5,7.3,10,2.6,1.5,324,2024-06-01 11:00,,0.1,4.4,16,1,121.20251473,25.06100357,18
桃園,桃園市,33,,良好,2.6,0.2,23.1,9.2,23,10,11.8,17.8,6,2.2,324,2024-06-01 11:00,,0.2,10.3,16,1,121.30500531,24.9947107,17
大同,臺北市,39,,良好,1.5,0.66,22.3,7.9,26,11,18.9,27.7,8.7,-,-,2024-06-01 11:00,,0.8,12,24,1,121.51342074,25.06331455,16
松山,臺北市,47,,良好,0.3,0.45,43.1,11.5,35,15,15.3,19.4,4.1,1.2,222,2024-06-01 11:00,,0.4,14.5,28,,121.578611,25.05,15
古亭,臺北市,35,,良好,1.4,0.43,44.5,12,26,16,18.9,26.1,7.2,1.7,310,2024-06-01 11:00,,0.3,10.8,25,2,121.529556,25.020608,14
萬華,臺北市,37,,良好,1.2,0.4,33.2,12.3,26,14,16.1,19.7,3.5,1.1,343,2024-06-01 11:00,,0.3,11.5,23,0,121.507972,25.046503,13
中山,臺北市,32,,良好,1.2,0.52,26.2,11.0,21,9,19.2,26,6.8,1.5,339,2024-06-01 11:00,,0.3,9.8,21,0,121.526528,25.062361,12
士林,臺北市,37,,良好,1.1,0.21,23.9,10.7,24,11,11,15.2,4.1,2.5,329,2024-06-01 11:00,,0.2,11.5,18,1,121.51666356,25.10334003,11
淡水,新北市,17,,良好,1.1,0.13,24.1,17.7,16,6,5.1,7,1.9,1.2,300,2024-06-01 11:00,,0.1,5.2,16,1,121.449239,25.1645,10
林口,新北市,18,,良好,0.8,0.12,22.5,13.5,15,5,5.7,8.1,2.4,1.4,303,2024-06-01 11:00,,0.1,5.5,11,0,121.36548982,25.07798949,9
菜寮,新北市,26,,良好,1.4,0.27,22.6,11.7,22,8,12.2,16.7,4.5,1.6,6,2024-06-01 11:00,,0.3,8.1,20,1,121.481028,25.06895,8
新莊,新北市,28,,良好,1.3,0.19,25.4,9.2,45,7,9,12.6,3.6,1.9,266,2024-06-01 11:00,,0.3,8.6,25,0,121.4325,25.037972,7
板橋,新北市,31,,良好,1.1,0.26,35.1,12.1,21,8,9.6,12.1,2.5,2.3,2,2024-06-01 11:00,,0.4,9.5,24,0,121.458667,25.012972,6
土城,新北市,51,細懸浮微粒,普通,0.1,0.2,37.7,12.1,21,12,6.9,8.4,1.5,2.5,303,2024-06-01 11:00,,0.4,15.5,28,0,121.451861,24.982528,5
新店,新北市,38,,良好,0.5,0.35,41.7,12.9,24,10,10.5,13.5,3,1.9,142,2024-06-01 11:00,,0.2,11.7,24,1,121.537778,24.977222,4
萬里,新北市,19,,良好,0.4,0.14,23.6,12.7,21,7,3.6,6.2,2.6,1.9,48,2024-06-01 11:00,,0.1,5.4,19,0,121.689881,25.179667,3
汐止,新北市,39,,良好,1,0.43,32.8,16.2,27,10,15.2,19.5,4.3,1.2,73,2024-06-01 11:00,,0.3,12.1,27,1,121.64081,25.06624,2
基隆,基隆市,26,,良好,1.1,0.22,22.6,8.4,24,9,4.7,7.2,2.5,0.9,310,2024-06-01 11:00,,0.2,7.9,25,0,121.760056,25.129167,1
屏東(枋山),屏東縣,32,,良好,0.2,0.07,32.1,16.4,64,13,0.5,0.7,0.2,1.9,228,2024-06-01 10:00,,0,4.2,32,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,12,,良好,0.8,0.2,19.1,13.9,10,3,4.7,6.7,2,0.6,81,2024-06-01 10:00,,0.2,2.3,11,0,120.65525382,24.39017512,312
新北(樹林),新北市,40,,良好,1,0.44,15,4.9,34,14,13.2,18.3,5.1,0.3,0,2024-06-01 10:00,,0.2,12.4,26,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,30,,良好,0.6,0.08,23.4,12.1,20,10,0.9,1.8,0.8,0.8,114,2024-06-01 10:00,,0.1,9.2,23,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,30,,良好,3,0.41,21.4,8.9,34,14,11.5,16.1,4.5,2.2,165,2024-06-01 10:00,,0.2,9.1,24,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,31,,良好,3.7,0.33,23.8,9.2,25,12,10.3,15.1,4.8,2.3,232,2024-06-01 10:00,,0.3,9.7,24,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,25,,良好,1.8,0.25,25.8,14.2,21,10,4.5,6.2,1.7,0.7,32,2024-06-01 10:00,,0.1,7.7,17,1,120.56373,23.96117,201
大城,彰化縣,18,,良好,1.1,0.09,20.7,9.8,24,3,2.9,4.9,2,3.8,221,2024-06-01 10:00,,0.1,4.4,18,1,120.26964167,23.85493056,85
富貴角,新北市,25,,良好,0.3,0.08,25.9,20.3,21,8,2.8,4.2,1.4,1.6,282,2024-06-01 10:00,,0,7.7,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,25,,良好,1.8,0.16,19.8,9.2,18,7,4.2,6.8,2.5,3.5,219,2024-06-01 10:00,,0.2,7.8,20,1,120.251825,23.753506,83
關山,臺東縣,20,,良好,1,0.12,30.2,12.4,10,4,1.5,2,0.5,1.1,212,2024-06-01 10:00,,0.1,6.3,20,0,121.161933,23.045083,80
馬公,澎湖縣,17,,良好,1.1,0.19,16.5,14.7,14,6,10.9,14.3,3.3,2.7,164,2024-06-01 10:00,,0.1,2.1,9,0,119.566158,23.569031,78
金門,金門縣,13,,良好,0.5,0.14,9.3,11.9,7,1,8,10.6,2.6,0.7,173,2024-06-01 10:00,,0.1,2.9,9,0,118.312256,24.432133,77
馬祖,連江縣,61,臭氧八小時,普通,0.4,0.17,59.7,58.6,8,1,2.8,3.5,0.6,1.1,325,2024-06-01 10:00,,0.2,3.8,12,0,119.93149378,26.15188416,75
埔里,南投縣,27,,良好,0.9,0.14,19.4,7.5,21,8,1.9,3.7,1.7,1,357,2024-06-01 10:00,,0.1,8.3,24,0,120.967903,23.968842,72
復興,高雄市,27,,良好,2.4,0.28,11.4,8.5,17,7,9.6,16,6.4,0.8,215,2024-06-01 10:00,,0.3,8.3,20,2,120.312017,22.608711,71
永和,新北市,31,,良好,1.1,0.75,25.6,7.4,23,10,15.9,23.1,7.1,1.4,79,2024-06-01 10:00,,0.5,9.6,23,0,121.516306,25.017,70
竹山,南投縣,28,,良好,0.6,0.09,27.7,10.4,12,7,2.6,3.5,0.8,1,310,2024-06-01 10:00,,0.1,8.6,20,0,120.677306,23.756389,69
中壢,桃園市,28,,良好,0.7,0.47,7.6,5.1,25,11,17.9,46.4,28.4,0.8,29,2024-06-01 10:00,,0.6,8.5,20,1,121.221667,24.953278,68
三重,新北市,35,,良好,1.6,0.6,14.2,6.0,26,11,21.9,53.5,31.5,-,-,2024-06-01 10:00,,0.5,10,22,0,121.493806,25.072611,67
冬山,宜蘭縣,29,,良好,1.3,0.33,16.7,10.4,40,10,13.1,19.2,6.1,1.5,34,2024-06-01 10:00,,0.2,7.5,29,0,121.792928,24.632203,66
宜蘭,宜蘭縣,18,,良好,1.3,0.28,24.5,17.7,18,5,5.4,7,1.6,0.7,21,2024-06-01 10:00,,0.2,4.5,18,1,121.746394,24.747917,65
陽明,臺北市,13,,良好,1.1,0.17,18.5,15.0,10,3,3.9,5.3,1.3,1.1,,2024-06-01 10:00,,0.1,3,11,0,121.529583,25.182722,64
花蓮,花蓮縣,20,,良好,1.1,0.29,29.7,14.8,,7,4.1,5.1,1,1.6,115,2024-06-01 10:00,,0.2,6.2,,0,121.599769,23.971306,63
臺東,臺東縣,18,,良好,,0.14,,14.9,14,5,2.4,3.6,1.2,0.7,116,2024-06-01 10:00,,0.1,5.2,18,0,121.15045,22.755358,62
恆春,屏東縣,22,,良好,0.6,0.08,29.6,24.5,11,4,0.7,1.4,0.6,2.6,211,2024-06-01 10:00,,0,5.7,11,0,120.788928,21.958069,61
潮州,屏東縣,22,,良好,0.9,0.08,22.6,11.5,19,4,0.7,2.5,1.7,3.1,230,2024-06-01 10:00,,0.1,3.5,22,1,120.561175,22.523108,60
屏東,屏東縣,24,,良好,1,0.18,29,11.7,17,4,4.1,5.7,1.5,2.6,219,2024-06-01 10:00,,0.1,5.4,24,1,120.488033,22.673081,59
小港,高雄市,34,,良好,2.8,0.14,15.9,7.8,18,11,9.1,14.8,5.7,1.2,131,2024-06-01 10:00,,0.2,10.6,22,2,120.337736,22.565833,58
前鎮,高雄市,23,,良好,2.2,0.2,10.7,7.4,17,8,11.2,22.2,11,1.5,183,2024-06-01 10:00,,0.3,7.2,21,2,120.30833356,22.6044507,57
前金,高雄市,23,,良好,2.2,0.14,11.7,8.9,27,4,11.8,24.8,12.9,3.6,202,2024-06-01 10:00,,0.2,5.3,23,1,120.28676111,22.63390278,56
左營,高雄市,27,,良好,3.5,0.28,19.6,11.6,21,11,11.7,16.2,4.4,2.2,211,2024-06-01 10:00,,0.3,8.2,19,1,120.292917,22.674861,54
楠梓,高雄市,30,,良好,4.1,0.31,27,10.1,28,11,10.5,14.1,3.6,1.3,218,2024-06-01 10:00,,0.2,9.3,27,1,120.328289,22.733667,53
林園,高雄市,58,懸浮微粒,普通,1.1,0.12,23.5,10.7,36,6,2.2,3.8,1.6,2.4,168,2024-06-01 10:00,,0.2,9.9,58,1,120.41175,22.4795,52
大寮,高雄市,30,,良好,0.6,0.1,20.9,7.9,20,7,3.5,5,1.4,2.6,172,2024-06-01 10:00,,0.1,9.3,30,1,120.425311,22.56413611,51
鳳山,高雄市,24,,良好,1.3,0.35,23,9.9,24,7,5.9,8.7,2.7,1.2,182,2024-06-01 10:00,,0.2,5,24,1,120.357422,22.628126,50
仁武,高雄市,19,,良好,1.9,0.22,27.7,14.2,17,4,5.3,8.1,2.8,2.5,198,2024-06-01 10:00,,0.2,5,19,0,120.332631,22.689056,49
橋頭,高雄市,28,,良好,4.5,0.36,30.2,12.2,22,10,11.9,15.8,3.8,2.6,170,2024-06-01 10:00,,0.2,8.7,23,1,120.305689,22.757506,48
美濃,高雄市,24,,良好,1.5,0.18,35.6,13.4,23,3,4,5.3,1.3,2.4,199,2024-06-01 10:00,,0.1,2.2,24,0,120.530542,22.883583,47
臺南,臺南市,38,,良好,4,0.31,30.8,12.4,26,13,9.5,13.1,3.6,2.6,206,2024-06-01 10:00,,0.2,11.7,25,1,120.21947897,22.98928311,46
安南,臺南市,36,,良好,4.3,0.34,26.6,10.6,24,14,8.9,14.3,5.4,3.5,197,2024-06-01 10:00,,0.3,11.2,26,1,120.2175,23.048197,45
善化,臺南市,28,,良好,2.9,0.28,32.9,12.2,24,13,4.5,6.4,1.8,3,187,2024-06-01 10:00,,0.1,8.7,21,0,120.29740529,23.11337642,44
新營,臺南市,21,,良好,1.7,0.24,27.4,14.2,21,4,4.1,6.7,2.5,1.7,180,2024-06-01 10:00,,0.1,3.2,21,1,120.31725,23.305633,43
嘉義,嘉義市,16,,良好,1.7,0.11,22.9,13.3,7,1,1.8,3.1,1.2,3.5,235,2024-06-01 10:00,,0.1,2.7,16,1,120.44125148,23.46477865,42
臺西,雲林縣,21,,良好,1.4,0.16,21.7,9.4,18,2,4.7,6.4,1.7,4.4,206,2024-06-01 10:00,,0.1,3.2,21,1,120.19933333,23.702175,41
朴子,嘉義縣,27,,良好,2.1,0.29,21.3,9.5,22,2,8.9,13.1,4.2,1.9,179,2024-06-01 10:00,,0.2,4.1,27,1,120.2478,23.46538,40
新港,嘉義縣,27,,良好,2.3,0.18,25,13.8,23,7,3.7,6.1,2.3,3.2,206,2024-06-01 10:00,,0.1,8.2,23,1,120.345531,23.554839,39
崙背,雲林縣,22,,良好,1.3,0.15,19.2,7.6,14,6,3.7,5.3,1.6,1.7,238,2024-06-01 10:00,,0.1,6.7,21,0,120.348742,23.757547,38
斗六,雲林縣,22,,良好,1.5,0.22,30.8,12.9,13,8,3.8,6.1,2.3,2.7,221,2024-06-01 10:00,,0.1,6.7,17,1,120.544994,23.711853,37
南投,南投縣,23,,良好,0.3,0.15,23.8,8.3,17,1,3.2,5.2,1.9,0.5,195,2024-06-01 10:00,,0.1,4,23,0,120.685306,23.913,36
二林,彰化縣,40,,良好,1.3,0.15,22.5,10.1,20,8,3.4,4.6,1.2,3.3,233,2024-06-01 10:00,,0.1,12.2,27,0,120.409653,23.925175,35
線西,彰化縣,18,,良好,1.5,0.15,23.1,12.1,20,4,2.8,5.2,2.3,3.2,231,2024-06-01 10:00,,0.1,4.5,18,1,120.469061,24.131672,34
彰化,彰化縣,14,,良好,1.1,0.14,25.9,15.6,20,4,4.1,5.9,1.8,1.5,246,2024-06-01 10:00,,0.1,3.9,13,0,120.541519,24.066,33
西屯,臺中市,21,,良好,1.5,0.15,23.8,8.5,18,5,6.3,10.1,3.7,2.7,205,2024-06-01 10:00,,0.1,6.5,21,1,120.616917,24.162197,32
忠明,臺中市,20,,良好,1.2,0.21,22.3,9.0,21,6,6.7,10,3.3,1.9,184,2024-06-01 10:00,,0.2,5.7,20,1,120.641092,24.151958,31
大里,臺中市,22,,良好,1,0.2,23,8.6,15,7,6.4,8.7,2.2,2.2,251,2024-06-01 10:00,,0.2,6.7,21,1,120.67844444,24.09961111,30
沙鹿,臺中市,19,,良好,0.8,0.19,26.2,15.8,16,8,5.9,8,2,2.4,217,2024-06-01 10:00,,0.1,5.9,14,0,120.568794,24.225628,29
豐原,臺中市,16,,良好,0.8,0.15,25.9,17.8,8,5,2.6,3.7,1.1,3.6,206,2024-06-01 10:00,,0.1,3.6,12,0,120.74252414,24.25699731,28
三義,苗栗縣,14,,良好,0.7,0.12,25.5,15.8,8,3,1.3,3.1,1.7,3.1,204,2024-06-01 10:00,,0.1,3.1,9,0,120.75956754,24.38248443,27
苗栗,苗栗縣,15,,良好,1,0.1,26.3,15.4,8,3,2.8,4.8,2,2.7,239,2024-06-01 10:00,,0.1,4.7,8,0,120.82011468,24.56499183,26
頭份,苗栗縣,23,,良好,2.2,0.2,24.7,11.9,22,8,6,8.9,2.9,4,329,2024-06-01 10:00,,0.1,7.2,17,1,120.89869286,24.69690679,25
新竹,新竹市,14,,良好,0.5,0.2,24.9,11.4,13,5,6.5,9.4,2.9,1.5,317,2024-06-01 10:00,,0.1,4.2,10,0,120.97236752,24.8056356,24
竹東,新竹縣,24,,良好,1.2,0.2,22.6,6.4,21,8,5.6,7.3,1.7,1.5,348,2024-06-01 10:00,,0.1,7.4,20,0,121.08895493,24.74091408,23
湖口,新竹縣,30,,良好,0.5,0.14,24.2,11.2,16,11,5.6,8.2,2.6,2.1,321,2024-06-01 10:00,,0.1,9.2,13,0,121.03886894,24.90009696,22
龍潭,桃園市,24,,良好,1.3,0.28,21.8,7.6,19,11,8.1,11.2,3,2.2,333,2024-06-01 10:00,,0.2,7.5,18,0,121.21645772,24.86400048,21
平鎮,桃園市,19,,良好,1.2,0.24,14.4,7.6,25,9,11.4,20.2,8.8,1.3,320,2024-06-01 10:00,,0.2,6,18,0,121.203986,24.952786,20
觀音,桃園市,14,,良好,0.2,0.09,27.9,15.6,12,5,4.3,6.6,2.2,2.7,358,2024-06-01 10:00,,0,4.2,11,0,121.08283092,25.03556747,19
大園,桃園市,14,,良好,1.3,0.16,20.3,14.7,20,8,8.4,13.1,4.6,2.6,0,2024-06-01 10:00,,0.1,4.2,14,1,121.20251473,25.06100357,18
桃園,桃園市,34,,良好,2.4,0.22,17.5,7.6,20,8,11.2,17.9,6.7,2,337,2024-06-01 10:00,,0.2,10.5,16,1,121.30500531,24.9947107,17
大同,臺北市,41,,良好,1.7,0.8,18.2,5.5,23,11,21.8,38.6,16.8,-,-,2024-06-01 10:00,,0.8,12.7,23,1,121.51342074,25.06331455,16
松山,臺北市,45,,良好,0.4,0.4,24.3,6.6,26,13,15.2,22.5,7.3,0.5,236,2024-06-01 10:00,,0.3,14,26,,121.578611,25.05,15
古亭,臺北市,31,,良好,1.3,0.43,26.4,7.0,25,11,14.2,21.1,6.9,0.9,146,2024-06-01 10:00,,0.3,9.7,24,2,121.529556,25.020608,14
萬華,臺北市,35,,良好,1,0.42,29.2,8.8,12,12,13.6,18,4.3,1.4,317,2024-06-01 10:00,,0.3,10.7,23,0,121.507972,25.046503,13
中山,臺北市,32,,良好,1,0.45,23.9,8.3,22,10,14.8,21.9,7.1,1,246,2024-06-01 10:00,,0.3,10,21,0,121.526528,25.062361,12
士林,臺北市,37,,良好,1.2,0.24,22.3,9.7,18,16,11.3,16,4.7,1.6,323,2024-06-01 10:00,,0.2,11.5,16,1,121.51666356,25.10334003,11
淡水,新北市,16,,良好,1.2,0.13,18,17.0,18,6,6.2,8.9,2.7,1.3,300,2024-06-01 10:00,,0.1,5,16,1,121.449239,25.1645,10
林口,新北市,19,,良好,0.8,0.15,17.5,12.2,13,6,6.7,10.6,3.9,2.5,334,2024-06-01 10:00,,0.1,5.7,11,0,121.36548982,25.07798949,9
菜寮,新北市,26,,良好,1.3,0.35,23.5,9.1,24,10,12.8,17.3,4.5,1.5,314,2024-06-01 10:00,,0.3,7.9,19,1,121.481028,25.06895,8
新莊,新北市,31,,良好,1.6,0.27,23.6,6.1,20,7,12.5,17,4.4,2.3,8,2024-06-01 10:00,,0.3,9.4,22,0,121.4325,25.037972,7
板橋,新北市,32,,良好,0.9,0.34,32.2,8.0,19,9,11.7,15.3,3.5,1.9,240,2024-06-01 10:00,,0.4,9.9,24,0,121.458667,25.012972,6
土城,新北市,50,,良好,0,0.39,32.8,7.4,30,18,15.4,19.6,4.1,2.1,282,2024-06-01 10:00,,0.4,15.3,29,0,121.451861,24.982528,5
新店,新北市,38,,良好,0.4,0.37,24.3,8.4,24,15,11.3,17.3,5.9,0.7,308,2024-06-01 10:00,,0.2,11.7,24,1,121.537778,24.977222,4
萬里,新北市,19,,良好,0.4,0.12,18.1,11.0,16,7,6.2,10.6,4.4,1.8,50,2024-06-01 10:00,,0.1,5.1,19,0,121.689881,25.179667,3
汐止,新北市,38,,良好,1.3,0.39,28.3,12.1,24,12,13.4,17.6,4.1,1.5,227,2024-06-01 10:00,,0.3,11.8,27,2,121.64081,25.06624,2
基隆,基隆市,26,,良好,0.9,0.17,17.6,5.7,23,7,5.5,8.4,2.8,1.5,99,2024-06-01 10:00,,0.2,8.1,26,0,121.760056,25.129167,1
屏東(枋山),屏東縣,25,,良好,0.1,0.07,28.1,13.4,64,5,0.4,0.5,0,1.3,179,2024-06-01 09:00,,0,2.1,25,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,12,,良好,0.8,0.21,21.3,13.4,14,3,4.5,6.6,2.1,0.8,120,2024-06-01 09:00,,0.2,2.3,11,0,120.65525382,24.39017512,312
新北(樹林),新北市,40,,良好,0.7,0.39,6.9,3.6,28,15,12.5,22.4,9.9,0.1,198,2024-06-01 09:00,,0.2,12.2,24,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,29,,良好,0.6,0.08,19,11.0,18,9,1.6,2.6,0.9,0.9,97,2024-06-01 09:00,,0.1,8.8,24,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,27,,良好,1.8,0.36,12.1,6.9,26,13,13.2,19.9,6.6,0.9,134,2024-06-01 09:00,,0.2,8.2,23,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,28,,良好,4,0.41,17.1,6.4,24,11,12.3,18.3,6,1.6,179,2024-06-01 09:00,,0.3,8.7,24,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,23,,良好,1.5,0.21,20.1,13.1,16,9,3.9,6,2,0.9,103,2024-06-01 09:00,,0.1,7.1,16,1,120.56373,23.96117,201
大城,彰化縣,17,,良好,1.5,0.15,14.4,8.5,19,3,4.8,8.2,3.4,3,210,2024-06-01 09:00,,0.1,4.6,17,1,120.26964167,23.85493056,85
富貴角,新北市,25,,良好,0.3,0.08,20.9,19.6,25,9,4.3,6.7,2.4,0.6,271,2024-06-01 09:00,,0,7.6,19,0,121.53656894,25.29681695,84
麥寮,雲林縣,26,,良好,2.1,0.25,14.2,8.0,19,11,6.3,10.8,4.4,2.4,210,2024-06-01 09:00,,0.1,8,21,1,120.251825,23.753506,83
關山,臺東縣,22,,良好,0.9,0.15,23.3,9.8,19,6,2,2.6,0.6,1.3,226,2024-06-01 09:00,,0.1,6.5,22,0,121.161933,23.045083,80
馬公,澎湖縣,18,,良好,1,0.2,12.1,15.2,9,3,11.5,15.2,3.6,2.7,164,2024-06-01 09:00,,0.1,1.2,8,0,119.566158,23.569031,78
金門,金門縣,11,,良好,0.4,0.11,16.2,12.0,6,3,6.4,9.1,2.7,0.2,272,2024-06-01 09:00,,0,3.3,10,0,118.312256,24.432133,77
馬祖,連江縣,61,臭氧八小時,普通,,0.16,58.7,58.1,8,4,,,,0.4,314,2024-06-01 09:00,,0.2,4.4,12,0,119.93149378,26.15188416,75
埔里,南投縣,28,,良好,1,0.17,12.8,5.6,21,10,2,4.7,2.6,1.1,339,2024-06-01 09:00,,0.1,8.5,25,0,120.967903,23.968842,72
復興,高雄市,26,,良好,6,0.49,19,7.8,27,14,15.6,21.6,6,0.8,183,2024-06-01 09:00,,0.3,7.9,21,2,120.312017,22.608711,71
永和,新北市,31,,良好,0.9,0.87,9.7,4.8,23,8,12.7,26.4,13.6,0.9,74,2024-06-01 09:00,,0.4,9.5,22,0,121.516306,25.017,70
竹山,南投縣,28,,良好,0.7,0.18,20.7,7.6,20,10,5.1,8,2.8,1.7,319,2024-06-01 09:00,,0.1,8.5,21,0,120.677306,23.756389,69
中壢,桃園市,32,,良好,0.8,0.49,5.5,5.5,20,9,19.6,49.5,29.9,0.4,322,2024-06-01 09:00,,0.6,8.9,19,1,121.221667,24.953278,68
三重,新北市,33,,良好,1.6,0.68,12.5,4.6,21,7,16.5,45.8,29.2,-,-,2024-06-01 09:00,,0.5,10.1,21,0,121.493806,25.072611,67
冬山,宜蘭縣,27,,良好,0.6,0.29,8.7,10.5,32,6,9.6,17.1,7.4,0.8,39,2024-06-01 09:00,,0.1,7.5,27,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,1.3,0.23,16.7,17.1,18,4,4,5.3,1.2,0.3,168,2024-06-01 09:00,,0.1,4.4,17,1,121.746394,24.747917,65
陽明,臺北市,14,,良好,1,0.15,14.5,15.6,8,4,3.9,5.4,1.4,0.8,110,2024-06-01 09:00,,0.1,2.7,11,0,121.529583,25.182722,64
花蓮,花蓮縣,21,,良好,0.7,0.26,19.6,13.3,,5,2.5,3.8,1.2,1.1,208,2024-06-01 09:00,,0.2,6.4,,0,121.599769,23.971306,63
臺東,臺東縣,20,,良好,0,0.16,31,14.8,15,5,3.5,4.9,1.3,0.2,82,2024-06-01 09:00,,0.1,5.5,20,0,121.15045,22.755358,62
恆春,屏東縣,21,,良好,0.5,0.08,29.5,23.4,16,6,0.8,1.3,0.4,3.2,225,2024-06-01 09:00,,0,6.2,11,0,120.788928,21.958069,61
潮州,屏東縣,24,,良好,0.8,0.08,22.3,9.9,16,1,1.2,2.5,1.3,1.9,220,2024-06-01 09:00,,0.1,3.6,24,1,120.561175,22.523108,60
屏東,屏東縣,25,,良好,0.9,0.2,23.9,9.0,24,4,5.9,8.8,2.9,2.8,177,2024-06-01 09:00,,0.1,5.7,25,1,120.488033,22.673081,59
小港,高雄市,33,,良好,5.6,0.19,18.3,6.1,28,10,10,13.3,3.2,1.6,165,2024-06-01 09:00,,0.2,10.2,22,2,120.337736,22.565833,58
前鎮,高雄市,27,,良好,5.9,0.39,16.6,6.5,26,12,16,24.5,8.5,1.1,186,2024-06-01 09:00,,0.3,6.5,22,2,120.30833356,22.6044507,57
前金,高雄市,23,,良好,3.5,0.27,16.9,7.8,24,7,14.6,22.4,7.7,2.6,177,2024-06-01 09:00,,0.2,5.3,20,1,120.28676111,22.63390278,56
左營,高雄市,25,,良好,5.7,0.63,22,9.4,25,12,14.4,20.6,6.2,1.6,166,2024-06-01 09:00,,0.3,7.7,19,1,120.292917,22.674861,54
楠梓,高雄市,30,,良好,4,0.29,22.7,7.3,30,9,12.5,18.5,5.9,2.1,161,2024-06-01 09:00,,0.2,9.1,28,1,120.328289,22.733667,53
林園,高雄市,58,懸浮微粒,普通,1.1,0.11,21,8.7,43,7,2,3.8,1.7,2.2,131,2024-06-01 09:00,,0.2,10.6,58,1,120.41175,22.4795,52
大寮,高雄市,32,,良好,1,0.15,23.1,5.5,35,10,4.8,6.8,1.9,2.1,164,2024-06-01 09:00,,0.2,9.8,31,1,120.425311,22.56413611,51
鳳山,高雄市,25,,良好,2.9,0.37,20.1,7.6,23,14,7.9,12.2,4.2,0.7,144,2024-06-01 09:00,,0.2,4.2,25,1,120.357422,22.628126,50
仁武,高雄市,19,,良好,2.5,0.3,26.3,11.6,21,3,9,13.5,4.5,2.5,145,2024-06-01 09:00,,0.2,5.6,19,0,120.332631,22.689056,49
橋頭,高雄市,27,,良好,4.6,0.29,20.1,9.3,25,11,15.6,22.1,6.5,2,151,2024-06-01 09:00,,0.2,8.2,23,0,120.305689,22.757506,48
美濃,高雄市,24,,良好,1.1,0.18,24.4,10.2,19,2,3.1,4.5,1.4,2,155,2024-06-01 09:00,,0.1,2.4,24,0,120.530542,22.883583,47
臺南,臺南市,35,,良好,4.2,0.3,21.3,9.3,26,6,12.1,17.2,5,2.9,173,2024-06-01 09:00,,0.2,10.8,25,1,120.21947897,22.98928311,46
安南,臺南市,35,,良好,6.6,0.61,16,8.1,31,15,15.8,26.2,10.3,2.9,168,2024-06-01 09:00,,0.3,10.7,26,1,120.2175,23.048197,45
善化,臺南市,26,,良好,2,0.22,18.4,9.2,19,7,3.9,6.3,2.4,3,160,2024-06-01 09:00,,0.1,7.9,21,0,120.29740529,23.11337642,44
新營,臺南市,21,,良好,1.4,0.21,17.7,12.1,21,0,3.9,6.8,2.9,2.5,175,2024-06-01 09:00,,0.1,3.2,21,0,120.31725,23.305633,43
嘉義,嘉義市,18,,良好,1.7,0.14,21.9,11.6,12,1,2.9,4.4,1.5,3.5,224,2024-06-01 09:00,,0.1,2.8,18,1,120.44125148,23.46477865,42
臺西,雲林縣,22,,良好,1.9,0.2,14.6,7.9,19,3,6.5,9.6,3,3.7,204,2024-06-01 09:00,,0.1,4,22,1,120.19933333,23.702175,41
朴子,嘉義縣,28,,良好,2.1,0.24,14.2,7.5,38,2,9,13.7,4.7,2.2,164,2024-06-01 09:00,,0.2,4,28,1,120.2478,23.46538,40
新港,嘉義縣,28,,良好,2.4,0.2,18.5,12.2,20,9,4.7,8,3.3,2.3,190,2024-06-01 09:00,,0.1,8.6,24,1,120.345531,23.554839,39
